Date, Race, Distance, Ascent, Venue, Country, Region, Distance (mil), Climb (m), Gmap, Web
Sat 18th Aug 2018 at 11:00,18/08 Pendle 3 Peaks,15.1km / 9.4m,865m / 2838ft,The Pendle Inn Barley Burnley BB12 9JX,England,South/West Pennines,9.4,865,The Pendle Inn Barley Burnley BB12 9JX,http://fellrunner.org.uk/races.php?id=5524 
Sat 18th Aug 2018 at 12:30,18/08 Rusland 5,7.8km / 4.8m,310m / 1017ft,Rusland Showfield Whitestock Meadow,England,Lake District,4.8,310,Rusland Showfield Whitestock Meadow,http://fellrunner.org.uk/races.php?id=5861 
Sat 18th Aug 2018 at 13:30,18/08 Darwen Gala Catherine Dowdall Memorial,7.5km / 4.7m,283m / 928ft,Main Gala event field Borough Rd Darwen BB3 2TA,England,South/West Pennines,4.7,283,Main Gala event field Borough Rd Darwen BB3 2TA,http://fellrunner.org.uk/races.php?id=5825 
Sat 18th Aug 2018 at 13:30,18/08 Weasdale Horseshoe,14km / 8.7m,610m / 2001ft,Ravenstonedale Show Field Newbiggin on Lune,England,York. Dales,8.7,610,Ravenstonedale Show Field Newbiggin on Lune,http://fellrunner.org.uk/races.php?id=5690 
Sat 18th Aug 2018 at 14:30,18/08 Falstone Falcon,8km / 5m,230m / 755ft,Showfield Falstone Northumberland,England,Northumberland / Durham,5.0,230,Showfield Falstone Northumberland,http://fellrunner.org.uk/races.php?id=5927 
Sat 18th Aug 2018,18/08 Gargrave Show,5.6km / 3.5m,274m / 899ft,Gargrave Showfield Eshton Road Gargrave BD23 3QE,England,South/West Pennines,3.5,274,Gargrave Showfield Eshton Road Gargrave BD23 3QE,http://fellrunner.org.uk/races.php?id=5729 
Sat 18th Aug 2018,18/08 Ochil 2000s,32.7km / 20.3m,1646m / 5400ft,Stirling University Sports Centre FK9 4LA,Scotland,Scotland,20.3,1646,56.146171 -3.924977,http://fellrunner.org.uk/races.php?id=5484 
Sun 19th Aug 2018 at 11:00,19/08 Sedbergh Hills,22.5km / 14m,1830m / 6004ft,People's Hall Howgill Lane Sedbergh,England,York. Dales,14.0,1830,People's Hall Howgill Lane Sedbergh,http://fellrunner.org.uk/races.php?id=5683 
Sun 19th Aug 2018 at 14:30,19/08 Lakeland Country Fair,9km / 5.6m,705m / 2313ft,The Showfield Little Arrow Torver LA21 8AU,England,Lake District,5.6,705,54.342866 -3.096716,http://fellrunner.org.uk/races.php?id=5727 
Tue 21st Aug 2018 at 19:00,21/08 Shipman Knotts,6km / 3.7m,400m / 1312ft,Maggs Howe Kentmere,England,Lake District,3.7,400,Maggs Howe Kentmere,http://fellrunner.org.uk/races.php?id=5647 
Wed 22nd Aug 2018 at 19:00,22/08 Crook Peak Cake Race,4.8km / 3m,200m / 656ft,White Hart Cross Axbridge Somerset BS26 2EE,England,South West,3.0,200,51.288432 -2.837411,http://fellrunner.org.uk/races.php?id=5801 
Wed 22nd Aug 2018 at 19:00,22/08 Harrock Hill 4,8.4km / 5.2m,275m / 902ft,800m from Farmers Arms Bispham Green Parbold L40 3SL,England,South/West Pennines,5.2,275,800m from Farmers Arms Bispham Green Parbold L40 3SL,http://fellrunner.org.uk/races.php?id=5757 
Wed 22nd Aug 2018 at 19:00,22/08 Ragleth Inn,4.5km / 2.8m,375m / 1230ft,Ragleth Inn  SY6 6RE,England,Shropshire/Welsh Borders,2.8,375,Ragleth Inn  SY6 6RE,http://fellrunner.org.uk/races.php?id=5612 
Thu 23rd Aug 2018 at 19:00,23/08 Pilsley,9.8km / 6.1m,245m / 804ft,Devonshire Arms Pilsley DE45 1UL,England,Peak District,6.1,245,53.236402 -1.638884,http://fellrunner.org.uk/races.php?id=5409 
Fri 24th Aug 2018 at 19:00,24/08 Tryfan Downhill Dash,1km / 0.6m,-680m / -2231ft,Car park on A5 at foot of Tryfan Bethesda 663603,Wales,Wales,0.6,0,Car park on A5 at foot of Tryfan Bethesda 663603,http://fellrunner.org.uk/races.php?id=5933 
Sat 25th Aug 2018 at 11:00,25/08 Oke Croak,16.7km / 10.4m,628m / 2060ft,Okehampton Running Club,England,South West,10.4,628,50.733870 -3.998001,http://fellrunner.org.uk/races.php?id=5730 
Sat 25th Aug 2018 at 12:30,25/08 Dufton Show,8km / 5m,460m / 1509ft,Dufton Show Field Dufton Cumbria CA16 6DB,England,North Pennines,5.0,460,Dufton Show Field Dufton Cumbria CA16 6DB,http://fellrunner.org.uk/races.php?id=5650 
Sat 25th Aug 2018 at 14:00,25/08 Chipping Show,12.1km / 7.5m,549m / 1801ft,Chipping Show Field PR3 2QE,England,Bowland/NW Lancs.,7.5,549,Chipping Show Field PR3 2QE,http://fellrunner.org.uk/races.php?id=5547 
Sat 25th Aug 2018 at 14:00,25/08 Pendleton,8km / 5m,457m / 1499ft,Village Hall Pendleton Clitheroe BB7 1PT,England,South/West Pennines,5.0,457,Village Hall Pendleton Clitheroe BB7 1PT,http://fellrunner.org.uk/races.php?id=5750 
Sat 25th Aug 2018 at 14:30,25/08 Bellingham Show,6.4km / 4m,183m / 600ft,Bellingham Showfield main ring,England,Northumberland / Durham,4.0,183,Bellingham Showfield main ring,http://fellrunner.org.uk/races.php?id=5688 
Sat 25th Aug 2018 at 15:00,25/08 Arnison Crag Horseshoe,5km / 3.1m,300m / 984ft,King George Playing Fields Patterdale,England,Lake District,3.1,300,King George Playing Fields Patterdale,http://fellrunner.org.uk/races.php?id=5652 
Sat 25th Aug 2018 at 15:30,25/08 Burnsall Classic,2.4km / 1.5m,274m / 899ft,Burnsall Skipton BD23 6BU,England,York. Dales,1.5,274,Burnsall Skipton BD23 6BU,http://fellrunner.org.uk/races.php?id=5497 
Sun 26th Aug 2018 at 10:30,26/08 Norland Moor,10.1km / 6.3m,270m / 886ft,Copley Cricket Club Copley off Wakefield Rd Halifax HX3 0TJ,England,South/West Pennines,6.3,270,Copley Cricket Club Copley off Wakefield Rd Halifax HX3 0TJ,http://fellrunner.org.uk/races.php?id=5671 
Sun 26th Aug 2018 at 16:00,26/08 Grasmere Senior Guides Race,2.5km / 1.6m,270m / 886ft,Sports Arena Grasmere,England,Lake District,1.6,270,Sports Arena Grasmere,http://fellrunner.org.uk/races.php?id=5904 
Sun 26th Aug 2018,26/08 Kong Mini Mm Round 3,Unknown,Unknown,Lake District exact location tbc 1 month before event,England,Lake District,0.0,0,Lake District exact location tbc 1 month before event,http://fellrunner.org.uk/races.php?id=5451 
Mon 27th Aug 2018 at 13:00,27/08 Cilcain Show,7.4km / 4.6m,392m / 1286ft,St Mary's Church Cilcain CH7 5NN,Wales,Wales,4.6,392,St Mary's Church Cilcain CH7 5NN,http://fellrunner.org.uk/races.php?id=5367 
Mon 27th Aug 2018 at 13:30,27/08 Black Combe Country Fair  Bootle,12.5km / 7.8m,625m / 2051ft,Black Combe Country Fair Show Bootle LA19 5TL,England,Lake District,7.8,625,Black Combe Country Fair Show Bootle LA19 5TL,http://fellrunner.org.uk/races.php?id=5456 
Mon 27th Aug 2018 at 14:00,27/08 Barrow,6.5km / 4m,435m / 1427ft,Showfield Braithwaite Keswick,England,Lake District,4.0,435,54.602708 -3.181095,http://fellrunner.org.uk/races.php?id=5654 
Mon 27th Aug 2018 at 16:30,27/08 Hebden Sports,2.5km / 1.6m,120m / 394ft,Powder House Field Hebden BD23 5DE,England,York. Dales,1.6,120,Powder House Field Hebden BD23 5DE,http://fellrunner.org.uk/races.php?id=5646 
Tue 28th Aug 2018 at 15:15,28/08 Kilnsey Crag ( B O F R A ),2km / 1.2m,124m / 407ft,Kilnsey Show BD23 5UQ,England,York. Dales,1.2,124,Kilnsey Show BD23 5UQ,http://fellrunner.org.uk/races.php?id=5978 
Tue 28th Aug 2018 at 18:30,28/08 Barrel Inn,10.4km / 6.5m,460m / 1509ft,Eyam Sports Pavilion Hawkhill Rd S32 5QP,England,Peak District,6.5,460,53.286850 -1.677459,http://fellrunner.org.uk/races.php?id=5937 
Wed 29th Aug 2018 at 14:30,29/08 Ennerdale Show,3km / 1.9m,200m / 656ft,The Leaps Kirkland,England,Lake District,1.9,200,54.550790 -3.413060,http://fellrunner.org.uk/races.php?id=5692 
Wed 29th Aug 2018 at 19:00,29/08 Roseberry Topping,2.3km / 1.4m,217m / 712ft,Newton under Roseberry Car Park Great Ayton,England,North York Moors,1.4,217,Newton under Roseberry Car Park Great Ayton,http://fellrunner.org.uk/races.php?id=5838 
