Date, Race, Distance, Ascent, Venue, Country, Region, Distance (mil), Climb (m), Gmap, Web
Sat 24th Mar 2018 at 14:00,24/03 Causey Pike,7.2km / 4.5m,543m / 1781ft,Stair Village Hall Newlands Valley Keswick,England,Lake District,4.5,543,Stair Village Hall Newlands Valley Keswick,http://fellrunner.org.uk/races.php?id=5659 
Sat 24th Mar 2018,24/03 Llantysilio,9.9km / 6.2m,640m / 2100ft,Sun Inn on B5103 Rhewl Llangollen  179448,Wales,Wales,6.2,640,Sun Inn on B5103 Rhewl Llangollen  179448,http://fellrunner.org.uk/races.php?id=5415 
Sun 25th Mar 2018 at 10:30,25/03 Brough Law,8km / 5m,400m / 1312ft,Bulbys Wood car park Ingram Valley Powburn Northumberland,England,Northumberland / Durham,5.0,400,55.441479 -1.988918,http://fellrunner.org.uk/races.php?id=5374 
Sun 25th Mar 2018 at 10:30,25/03 Doctors Gate,18km / 11.2m,860m / 2821ft,Queens Arms 1 Shepley Street Glossop SK13 7RZ,England,South/West Pennines,11.2,860,Queens Arms 1 Shepley Street Glossop SK13 7RZ,http://fellrunner.org.uk/races.php?id=5926 
Sun 25th Mar 2018 at 10:30,25/03 Heptonstall,24.8km / 15.4m,966m / 3169ft,The Cross Inn Heptonstall HX7 7NB,England,South/West Pennines,15.4,966,53.750183 -2.021194,http://fellrunner.org.uk/races.php?id=5865 
Sun 25th Mar 2018 at 11:00,25/03 Carrock Fell,9km / 5.6m,500m / 1640ft,Calebreck Car Park Hesket Newmarket Wigton CA7 8JR,England,Lake District,5.6,500,54.712932 -3.018207,http://fellrunner.org.uk/races.php?id=5544 
Sun 25th Mar 2018 at 13:00,25/03 Helm Hill - Winter League,7.7km / 4.8m,365m / 1197ft,The Helm Oxenholme Rd Kendal LA9 7RF,England,Lake District,4.8,365,The Helm Oxenholme Rd Kendal LA9 7RF,http://fellrunner.org.uk/races.php?id=5979 
Sun 25th Mar 2018,25/03 Todd Crag Juniors,Unknown,Unknown,Ambleside Parish Centre beside St Mary's Church,England,Lake District,0.0,0,Ambleside Parish Centre beside St Mary's Church,http://fellrunner.org.uk/races.php?id=5947 
Mon 26th Mar 2018 at 18:45,26/03 Trunce 1,6.4km / 4m,170m / 558ft,Oxspring Playing Field Oxspring Sheffield,England,Peak District,4.0,170,53.506807 -1.591361,http://fellrunner.org.uk/races.php?id=5426 
Tue 27th Mar 2018 at 18:45,27/03 Pete Hartley Memorial Liver Hill,7km / 4.3m,250m / 820ft,Marl Pits Sports Centre Newchurch Road Rawtenstall BB4 7SW,England,South/West Pennines,4.3,250,53.703133 -2.274134,http://fellrunner.org.uk/races.php?id=5442 
Tue 27th Mar 2018 at 19:00,27/03 Bunny Run 1,4.8km / 3m,100m / 328ft,Old Sun Hotel Haworth W Yorks 5 min walk to start,England,South/West Pennines,3.0,100,Old Sun Hotel Haworth W Yorks 5 min walk to start,http://fellrunner.org.uk/races.php?id=5780 
Tue 27th Mar 2018 at 19:00,27/03 Moel Tryfan,4.5km / 2.8m,160m / 525ft,Y Fron Community Centre Y Fron Caernarfon,Wales,Wales,2.8,160,Y Fron Community Centre Y Fron Caernarfon,http://fellrunner.org.uk/races.php?id=5473 
Fri 30th Mar 2018 at 10:30,30/03 Howgills,23km / 14.3m,2070m / 6791ft,People's Hall Howgill Lane Sedbergh LA10 5DQ,England,York. Dales,14.3,2070,People's Hall Howgill Lane Sedbergh LA10 5DQ,http://fellrunner.org.uk/races.php?id=5973 
Sat 31st Mar 2018 at 08:00,31/03 Manx Mountain Marathon,51km / 31.7m,2500m / 8202ft,Market Square Ramsay IOM,England,Isle of Man,31.7,2500,Market Square Ramsay IOM,http://fellrunner.org.uk/races.php?id=5635 
Sat 31st Mar 2018 at 11:00,31/03 Dungeon Ghyll,5.6km / 3.5m,640m / 2100ft,Stickle Barn Pub Great Langdale LA22 9JU,England,Lake District,3.5,640,Stickle Barn Pub Great Langdale LA22 9JU,http://fellrunner.org.uk/races.php?id=5925 
Sat 31st Mar 2018 at 12:00,31/03 Llanbedr To Blaenafon,25.4km / 15.8m,1341m / 4400ft,Llanbedr Village  NB Registration is at the finish: Blaenavon Rugby Club: NP4 9HR,Wales,Wales,15.8,1341,Llanbedr Village  NB Registration is at the finish: Blaenavon Rugby Club: NP4 9HR,http://fellrunner.org.uk/races.php?id=5381 
Sat 31st Mar 2018 at 13:30,31/03 Half Manx Marathon,21.5km / 13.4m,1200m / 3937ft,St Johns,England,Isle of Man,13.4,1200,St Johns,http://fellrunner.org.uk/races.php?id=5796 
Sat 31st Mar 2018 at 15:00,31/03 Rivington Pike,5.2km / 3.2m,213m / 699ft,Registration at Crown Hotel Horwich from 12 noon Start/finish at Lever Park Avenue,England,South/West Pennines,3.2,213,Registration at Crown Hotel Horwich from 12 noon Start/finish at Lever Park Avenue,http://fellrunner.org.uk/races.php?id=5798 
Sat 31st Mar 2018,31/03 Fron Four,11.4km / 7.1m,716m / 2349ft,Fron school Caernarfon 505548,Wales,Wales,7.1,716,Fron school Caernarfon 505548,http://fellrunner.org.uk/races.php?id=5932 
