Date, Race, Distance, Ascent, Venue, Country, Region, Distance (mil), Climb (m), Gmap, Web
Sun 10th Jun 2018 at 11:00,10/06 Howtown,21.4km / 13.3m,1400m / 4593ft,Howtown Bobbin Mill,England,Lake District,13.3,1400,Howtown Bobbin Mill,http://fellrunner.org.uk/races.php?id=5910 
Sun 10th Jun 2018 at 11:00,10/06 Knowl Hill,9.7km / 6m,396m / 1299ft,Brown Cow Norden Rochdale OL12 7RB,England,South/West Pennines,6.0,396,Brown Cow Norden Rochdale OL12 7RB,http://fellrunner.org.uk/races.php?id=5736 
Sun 10th Jun 2018 at 11:00,10/06 Passing Clouds,15.7km / 9.8m,565m / 1854ft,Visitor Centre Tittesworth reservoir Leek ST13 8SW,England,Peak District,9.8,565,53.129729 -0.515850,http://fellrunner.org.uk/races.php?id=5596 
Mon 11th Jun 2018 at 18:45,11/06 Trunce 5,6.4km / 4m,170m / 558ft,Oxspring Playing Field Oxspring Sheffield,England,Peak District,4.0,170,53.506807 -1.591361,http://fellrunner.org.uk/races.php?id=5431 
Tue 12th Jun 2018 at 19:15,12/06 Aber Classic,7.2km / 4.5m,391m / 1283ft,Caffi Hen Felin Abergwyngregyn,Wales,Wales,4.5,391,Caffi Hen Felin Abergwyngregyn,http://fellrunner.org.uk/races.php?id=5476 
Wed 13th Jun 2018 at 19:00,13/06 Snaefell,8km / 5m,550m / 1804ft,Bungalow TT Course IOM,England,Isle of Man,5.0,550,Bungalow TT Course IOM,http://fellrunner.org.uk/races.php?id=5640 
Wed 13th Jun 2018 at 19:15,13/06 Holcombe Two Towers,6.5km / 4m,400m / 1312ft,Hare & Hounds BL0 9SA on A676 3m NNW of Bury,England,South/West Pennines,4.0,400,53.633768 -2.335686,http://fellrunner.org.uk/races.php?id=5724 
Wed 13th Jun 2018 at 19:30,13/06 Brown Wardle (and A Bit Moor),5.3km / 3.3m,360m / 1181ft,Whitworth Scout Hut Longacres Lane Whitworth OL12 8JS,England,South/West Pennines,3.3,360,Whitworth Scout Hut Longacres Lane Whitworth OL12 8JS,http://fellrunner.org.uk/races.php?id=5556 
Wed 13th Jun 2018 at 19:30,13/06 Hotfoot Up Famau,5.6km / 3.5m,366m / 1201ft,Car park Moel Famau Denbighshire,Wales,Wales,3.5,366,Car park Moel Famau Denbighshire,http://fellrunner.org.uk/races.php?id=5585 
Thu 14th Jun 2018 at 19:30,14/06 Blacka Moor Chase,6.7km / 4.2m,252m / 827ft,Totley AC Pavilion Cricket Inn 302800,England,Peak District,4.2,252,Totley AC Pavilion Cricket Inn 302800,http://fellrunner.org.uk/races.php?id=5629 
Thu 14th Jun 2018 at 19:30,14/06 Walsh Two Lads,8.4km / 5.2m,274m / 899ft,The Ale House 36 Church St Horwich Bolton BL6 6AD,England,South/West Pennines,5.2,274,The Ale House 36 Church St Horwich Bolton BL6 6AD,http://fellrunner.org.uk/races.php?id=5898 
Fri 15th Jun 2018 at 19:30,15/06 Pigeon Tower,8km / 5m,370m / 1214ft,Near Rivington Hall Barn,England,South/West Pennines,5.0,370,53.623956 -2.556351,http://fellrunner.org.uk/races.php?id=5815 
Sat 16th Jun 2018 at 10:30,16/06 Alwinton 3 Tops,24km / 14.9m,750m / 2461ft,Alwinton Rothbury Northumberland,England,Northumberland / Durham,14.9,750,55.351561 -2.124567,http://fellrunner.org.uk/races.php?id=5589 
Sat 16th Jun 2018 at 11:00,16/06 Great Lakes Run,21km / 13m,2130m / 6988ft,Stool End Farm Great Langdale,England,Lake District,13.0,2130,Stool End Farm Great Langdale,http://fellrunner.org.uk/races.php?id=5417 
Sat 16th Jun 2018 at 14:00,16/06 Y Cerrig Las,11.5km / 7.1m,350m / 1148ft,Car park between Mynachlog-du & Rosebush,Wales,Wales,7.1,350,Car park between Mynachlog-du & Rosebush,http://fellrunner.org.uk/races.php?id=5388 
Sat 16th Jun 2018 at 14:30,16/06 Buckden Pike,6km / 3.7m,486m / 1594ft,Buckden Village Green BD23 5JA,England,York. Dales,3.7,486,54.191444 -2.090390,http://fellrunner.org.uk/races.php?id=5594 
Sat 16th Jun 2018 at 15:00,16/06 Darren Jones Clougha Pike,7.9km / 4.9m,400m / 1312ft,Quernmore Village Crossroads Lancaster LA2 9EH,England,Bowland/NW Lancs.,4.9,400,54.025661 -2.734193,http://fellrunner.org.uk/races.php?id=5906 
Sat 16th Jun 2018 at 15:15,16/06 Peter Brinsley Bosley Fete,7.5km / 4.7m,250m / 820ft,Bosley Village School SK11 0NX,England,Peak District,4.7,250,53.188344 -2.124172,http://fellrunner.org.uk/races.php?id=5893 
Sat 16th Jun 2018,16/06 Lakeside - Gummers How,5km / 3.1m,260m / 853ft,Lakeside Hotel Newby Bridge LA12 8AT,England,Lake District,3.1,260,Lakeside Hotel Newby Bridge LA12 8AT,http://fellrunner.org.uk/races.php?id=5760 
Sun 17th Jun 2018 at 10:30,17/06 Settle Hills,11.3km / 7m,400m / 1312ft,North Ribblesdale RUFC Settle BD24 9QH,England,York. Dales,7.0,400,54.065332 -2.278048,http://fellrunner.org.uk/races.php?id=5586 
Sun 17th Jun 2018 at 12:00,17/06 Brunt Knott,9km / 5.6m,410m / 1345ft,Staveley Mill Yard LA8 9LR,England,Lake District,5.6,410,Staveley Mill Yard LA8 9LR,http://fellrunner.org.uk/races.php?id=5981 
Sun 17th Jun 2018 at 12:00,17/06 Kettlewell ( B O F R A ),2.5km / 1.6m,250m / 820ft,Kettlewell Cricket Field Kettlewell Upper Wharfedale On B6160,England,York. Dales,1.6,250,Kettlewell Cricket Field Kettlewell Upper Wharfedale On B6160,http://fellrunner.org.uk/races.php?id=5510 
Sun 17th Jun 2018 at 13:00,17/06 Cwmcerwyn,8.5km / 5.3m,350m / 1148ft,Rosebush playground car park,Wales,Wales,5.3,350,Rosebush playground car park,http://fellrunner.org.uk/races.php?id=5954 
