Date, Race, Distance, Ascent, Venue, Country, Region, Distance (mil), Climb (m), Gmap, Web
Sat 21st Jul 2018,21/07 Jewson International Snowdon Race,15.35km / 9.5m,1006m / 3300ft,Cae Ddol Llanberis LL55 4TD,Wales,Wales,9.5,1006,Cae Ddol Llanberis LL55 4TD,http://fellrunner.org.uk/races.php?id=5826 
Sun 22nd Jul 2018 at 11:00,22/07 Holme Moss,28.5km / 17.7m,1315m / 4314ft,Cartworth Moor Cricket Club Holmfirth HD9 2TU,England,Peak District,17.7,1315,Cartworth Moor Cricket Club Holmfirth HD9 2TU,http://fellrunner.org.uk/races.php?id=5509 
Sun 22nd Jul 2018 at 12:00,22/07 Cracoe ( B O F R A ),4.2km / 2.6m,274m / 899ft,Park next to Jackson's of Cracoe On B6265 between Skipton and Grassington BD23 6LB,England,York. Dales,2.6,274,Park next to Jackson's of Cracoe On B6265 between Skipton and Grassington BD23 6LB,http://fellrunner.org.uk/races.php?id=5525 
Sun 22nd Jul 2018,22/07 Coniston Country Fair,9.7km / 6m,732m / 2402ft,Coniston Hall Farm Coniston LA21 8AS,England,Lake District,6.0,732,Coniston Hall Farm Coniston LA21 8AS,http://fellrunner.org.uk/races.php?id=5546 
Mon 23rd Jul 2018 at 18:45,23/07 Trunce 7,6.4km / 4m,170m / 558ft,Oxspring Playing Field Oxspring Sheffield,England,Peak District,4.0,170,53.506807 -1.591361,http://fellrunner.org.uk/races.php?id=5429 
Wed 25th Jul 2018 at 19:00,25/07 Fellside,11.3km / 7m,580m / 1903ft,Fellside Village Caldbeck,England,Lake District,7.0,580,Fellside Village Caldbeck,http://fellrunner.org.uk/races.php?id=5615 
Wed 25th Jul 2018 at 19:00,25/07 Lee Mill,10.7km / 6.6m,332m / 1089ft,Stubbylee Park OL13 0DE,England,South/West Pennines,6.6,332,53.686195 -2.204372,http://fellrunner.org.uk/races.php?id=5771 
Wed 25th Jul 2018 at 19:00,25/07 North Barrule,3.3km / 2.1m,345m / 1132ft,Hibernia IM7 1EP,England,Isle of Man,2.1,345,Hibernia IM7 1EP,http://fellrunner.org.uk/races.php?id=5656 
Wed 25th Jul 2018 at 19:15,25/07 Inclined To Madness,11km / 6.8m,375m / 1230ft,Lower Clay Bank Car Park Stokesley N Yorks TS9 7JA,England,North York Moors,6.8,375,54.426355 -1.109090,http://fellrunner.org.uk/races.php?id=5663 
Wed 25th Jul 2018 at 19:30,25/07 Green Green Grass Of Home,8km / 5m,457m / 1499ft,Golden Lion Llangynhafal LL16 4LN,Wales,Wales,5.0,457,Golden Lion Llangynhafal LL16 4LN,http://fellrunner.org.uk/races.php?id=5537 
Wed 25th Jul 2018 at 19:30,25/07 Harrock Hill 3,8.4km / 5.2m,275m / 902ft,800m from the Farmers Arms Bispham Green Parbold L40 3SL,England,South/West Pennines,5.2,275,800m from the Farmers Arms Bispham Green Parbold L40 3SL,http://fellrunner.org.uk/races.php?id=5756 
Thu 26th Jul 2018 at 12:05,26/07 Heart Of The Lakes Rydal Round,14.5km / 9m,915m / 3002ft,Rydal Park Ambleside,England,Lake District,9.0,915,Rydal Park Ambleside,http://fellrunner.org.uk/races.php?id=5864 
Thu 26th Jul 2018 at 19:30,26/07 Stoney Middleton,8.5km / 5.3m,200m / 656ft,Stoney Middleton playing field,England,Peak District,5.3,200,Stoney Middleton playing field,http://fellrunner.org.uk/races.php?id=5536 
Sat 28th Jul 2018 at 12:00,28/07 Ben Rinnes Five Tops,22.4km / 13.9m,1500m / 4921ft,Highland Games Dufftown Grampian NJ322402,Scotland,Scotland,13.9,1500,57.447011 -3.131316,http://fellrunner.org.uk/races.php?id=5814 
Sat 28th Jul 2018 at 14:30,28/07 Lingmell Dash,7.2km / 4.5m,762m / 2500ft,Wasdale Head Inn carpark CA20 1EX,England,Lake District,4.5,762,54.468041 -3.255904,http://fellrunner.org.uk/races.php?id=5790 
Sat 28th Jul 2018 at 14:30,28/07 Turnslack,12.9km / 8m,610m / 2001ft,Calderbrook Church Calderbrook Rd Summit,England,South/West Pennines,8.0,610,Calderbrook Church Calderbrook Rd Summit,http://fellrunner.org.uk/races.php?id=5834 
Sat 28th Jul 2018 at 15:30,28/07 Beetham Sports,9.3km / 5.8m,283m / 928ft,Beetham Sports Field Beetham Milnthorpe Cumbria,England,Lake District,5.8,283,Beetham Sports Field Beetham Milnthorpe Cumbria,http://fellrunner.org.uk/races.php?id=5714 
Sun 29th Jul 2018 at 11:00,29/07 James Herriot Run,14km / 8.7m,305m / 1001ft,Bolton Castle Castle Bolton Leyburn N Yorks DL8 4ET,England,York. Dales,8.7,305,54.321782 -1.953849,http://fellrunner.org.uk/races.php?id=5515 
Sun 29th Jul 2018 at 11:00,29/07 James' Thorn,8km / 5m,491m / 1611ft,Registration and parking at Glossop Golf Club Glossop SK17 3PU,England,Peak District,5.0,491,Registration and parking at Glossop Golf Club Glossop SK17 3PU,http://fellrunner.org.uk/races.php?id=5753 
Sun 29th Jul 2018 at 13:00,29/07 Kentmere Horseshoe,19.8km / 12.3m,1006m / 3300ft,Kentmere Village Hall,England,Lake District,12.3,1006,Kentmere Village Hall,http://fellrunner.org.uk/races.php?id=5821 
