Date, Race, Distance, Ascent, Venue, Web
Sat 27th May 2017 at 12:00,Weets English Champs,9.8km / 6.1m,550m / 1804ft,Letcliffe Park Barnoldswick,http://fellrunner.org.uk/races.php?id=5181 
Sat 5th Aug 2017 at 15:15,Hellifield Gala,5.6km / 3.5m,260m / 853ft,Hellifield Recreation Field,http://fellrunner.org.uk/races.php?id=5189 
Fri 30th Jun 2017 at 19:00,Kirkby Stephen Sports,4km / 2.5m,110m / 361ft,Upper Eden Rugby Club CA17 4TF,http://fellrunner.org.uk/races.php?id=5210 
Thu 1st Jun 2017 at 19:30,Ingleton Scenery,7.5km / 4.7m,270m / 886ft,Ingleton,http://fellrunner.org.uk/races.php?id=5228 
Thu 8th Jun 2017 at 19:30,Kettlewell Anniversary,8km / 5m,550m / 1804ft,Kettlewell (near bridge),http://fellrunner.org.uk/races.php?id=5230 
Mon 29th May 2017 at 13:00,Austwick Amble,13km / 8.1m,365m / 1197ft,Austwick Village Green (Yorks Dales) LA2 8BA,http://fellrunner.org.uk/races.php?id=5246 
Sat 9th Sep 2017 at 15:00,Lothersdale Show,2.4km / 1.5m,122m / 400ft,Young Farmers Showground Lothersdale BD20 8HB,http://fellrunner.org.uk/races.php?id=5249 
Tue 9th May 2017 at 19:15,Jack Bloor Race,8.4km / 5.2m,350m / 1148ft,Darwin Gardens Wells Road Ilkley LS29 9JS,http://fellrunner.org.uk/races.php?id=5254 
Sun 2nd Jul 2017 at 13:00,Cancelled - Fountains,13.6km / 8.4m,358m / 1175ft,Waterhouses BD24 9PT,http://fellrunner.org.uk/races.php?id=5268 
Sat 30th Sep 2017 at 10:00,Firth,12.5km / 7.8m,436m / 1430ft,Buckden Village Field BD23 5JA,http://fellrunner.org.uk/races.php?id=5269 
Sat 6th May 2017 at 10:00,Buckden Out Moor And Back Again,8.2km / 5.1m,472m / 1549ft,Buckden Car Park BD23 5JA,http://fellrunner.org.uk/races.php?id=5270 
Sun 4th Jun 2017,Yomp Mountain Challenge,37km / 23m,1326m / 4350ft,Kirby Stephen Grammar School Kirby Stephen CA17 4HA,http://fellrunner.org.uk/races.php?id=5279 
Sat 15th Apr 2017 at 10:30,Howgills,23km / 14.3m,2070m / 6791ft,People's Hall Howgill Lane Sedbergh LA10 5DQ,http://fellrunner.org.uk/races.php?id=5299 
Sun 30th Apr 2017 at 13:00,Arant Haw,7.5km / 4.7m,400m / 1312ft,Peoples Hall Sedbergh,http://fellrunner.org.uk/races.php?id=5317 
Sun 21st May 2017 at 11:30,B O F R A Malham Charity Relays,2.5km / 1.6m,100m / 328ft,Listers Arms Malham BD23 4DB,http://fellrunner.org.uk/races.php?id=5323 
Sun 7th May 2017 at 12:00,Sedbergh ( B O F R A ),5km / 3.1m,550m / 1804ft,Sedbergh Sports Field,http://fellrunner.org.uk/races.php?id=5324 
Sun 4th Jun 2017 at 12:00,Kettlewell ( B O F R A ),2.5km / 1.6m,250m / 820ft,Blue Bell Inn Kettlewell Upper Wharfdale BD23 5QX On B6160,http://fellrunner.org.uk/races.php?id=5330 
