Date, Race, Distance, Ascent, Venue, Web
Sat 16th Sep 2017 at 13:00,Scafell Pike,7.2km / 4.5m,914m / 2999ft,Wasdale Head campsite,http://fellrunner.org.uk/races.php?id=5216 
Sat 29th Apr 2017 at 12:30,Coniston,14km / 8.7m,1065m / 3494ft,Coniston Institute,http://fellrunner.org.uk/races.php?id=5224 
Sat 27th May 2017 at 14:15,Hutton Roof Crags,11.3km / 7m,397m / 1302ft,Hutton Roof Village HallKirkby Lonsdale LA6 2PG,http://fellrunner.org.uk/races.php?id=5225 
Sat 4th Mar 2017 at 13:00,Jarrett's Jaunt,7.2km / 4.5m,457m / 1499ft,Wath Brow Bridge West Cumbria,http://fellrunner.org.uk/races.php?id=5232 
Sat 21st Oct 2017 at 14:30,Screes,7.9km / 4.9m,475m / 1558ft,The Strands Inn Nether Wasdale CA20 1ET,http://fellrunner.org.uk/races.php?id=5233 
Sat 28th Oct 2017 at 14:00,Buttermere Shepherd's Meet,2.5km / 1.6m,275m / 902ft,Buttermere village GR NY175170,http://fellrunner.org.uk/races.php?id=5235 
Sat 18th Mar 2017 at 14:30,Middle Fell,10.6km / 6.6m,518m / 1699ft,Strands Inn Nether Wasdale Seascale CA20 1ET,http://fellrunner.org.uk/races.php?id=5236 
Wed 5th Jul 2017 at 19:00,Reston Scar Scamper,6km / 3.7m,301m / 988ft,Staveley Mill Yard next to Wheelbase/Wilfs Cafe,http://fellrunner.org.uk/races.php?id=5237 
Wed 30th Aug 2017 at 14:30,Ennerdale Show,3km / 1.9m,200m / 656ft,The LeapsKirkland,http://fellrunner.org.uk/races.php?id=5242 
Sat 20th May 2017 at 12:00,Buttermere Sailbeck,15km / 9.3m,1315m / 4314ft,Buttermere Village,http://fellrunner.org.uk/races.php?id=5251 
Sat 12th Aug 2017,Turner Landscape,17km / 10.6m,910m / 2986ft,Turner Hall Farm Seathwaite Duddon Valley Cumbria,http://fellrunner.org.uk/races.php?id=5256 
Sun 27th Aug 2017 at 16:00,Grasmere Senior Guides Race,2.5km / 1.6m,270m / 886ft,Sports Arena Grasmere,http://fellrunner.org.uk/races.php?id=5266 
Sun 8th Jan 2017 at 13:00,Scout Scar,8km / 5m,150m / 492ft,Scout Scar Brigsteer Rd  Kendal,http://fellrunner.org.uk/races.php?id=5287 
Sun 22nd Jan 2017 at 13:00,Giggleswick School,6.2km / 3.9m,135m / 443ft,Giggleswick School Giggleswick Settle BD24 0DE,http://fellrunner.org.uk/races.php?id=5290 
Sun 12th Feb 2017 at 13:00,Barbondale,3.2km / 2m,358m / 1175ft,Barbondale Cumbria,http://fellrunner.org.uk/races.php?id=5291 
Sun 5th Feb 2017 at 13:00,Birkrigg Common,5km / 3.1m,170m / 558ft,Birkrigg Common Ulverston,http://fellrunner.org.uk/races.php?id=5292 
Sun 19th Feb 2017 at 13:00,Cunswick Scar,8km / 5m,185m / 607ft,Boundary Bank Lane Kendal LA9 5RR,http://fellrunner.org.uk/races.php?id=5294 
Sun 12th Mar 2017 at 13:00,Helm Hill - Winter League,7.7km / 4.8m,365m / 1197ft,The Helm Oxenholme Rd Kendal LA9 7RF,http://fellrunner.org.uk/races.php?id=5295 
Sun 29th Jan 2017 at 13:00,Whitestone,6.4km / 4m,155m / 509ft,Staveley-in-CartmelNewby Bridge,http://fellrunner.org.uk/races.php?id=5296 
Sun 23rd Apr 2017 at 13:00,Yarlside Downhill,1.5km / 0.9m,-420m / -1378ft,Yarlside CautleySedbergh,http://fellrunner.org.uk/races.php?id=5297 
Sun 26th Feb 2017 at 13:00,Sedbergh School - Winter League,6.4km / 4m,145m / 476ft,Sedbergh School Busk Pavillion Busk Lane LA10 5HF,http://fellrunner.org.uk/races.php?id=5298 
Sun 5th Mar 2017 at 13:00,Cautley Kendal Winter League,6.5km / 4m,663m / 2175ft,FootbridgeCross Keys Temperance Inn Cautley Sedbergh LA10 5NE,http://fellrunner.org.uk/races.php?id=5300 
Thu 6th Jul 2017 at 19:30,Hoad Hill,2.8km / 1.7m,151m / 495ft,Ford Park Ulverston Cumbria LA12 7JP,http://fellrunner.org.uk/races.php?id=5307 
Sun 19th Mar 2017 at 13:00,Longsleddale,7.7km / 4.8m,480m / 1575ft,Docker Nook Farm Longsleddale,http://fellrunner.org.uk/races.php?id=5308 
Sun 9th Apr 2017 at 13:00,Elterwater Common - Winter League,4.7km / 2.9m,396m / 1299ft,Elterwater common Langdale GR332049,http://fellrunner.org.uk/races.php?id=5314 
Sun 28th May 2017 at 12:00,Coniston Gullies ( B O F R A ),2km / 1.2m,350m / 1148ft,John Ruskin School Coniston LA21 8EW,http://fellrunner.org.uk/races.php?id=5327 
Sun 19th Nov 2017 at 12:15,Arnside Knott,10km / 6.2m,330m / 1083ft,Hollins Farm Far Arnside Cumbria LA5 0SL,http://fellrunner.org.uk/races.php?id=5333 
