Date, Race, Distance, Ascent, Venue, Web
Sat 26th Aug 2017 at 12:30,Dufton Show,8km / 5m,460m / 1509ft,Dufton Show Field Dufton CumbriaCA16 6DB,http://fellrunner.org.uk/races.php?id=4747 
Sun 1st Jan 2017 at 12:00,Nine Standards,12.9km / 8m,549m / 1801ft,Market Square Kirkby Stephen,http://fellrunner.org.uk/races.php?id=4753 
Sat 9th Sep 2017 at 14:30,Great Westmorland Trail,13km / 8.1m,400m / 1312ft,Crosby Garrett Village HallKirkby Stephen,http://fellrunner.org.uk/races.php?id=4900 
Sat 25th Feb 2017 at 14:00,Inov-8 High Cup Nick,15km / 9.3m,460m / 1509ft,Dufton Village Hall CA16 6DB,http://fellrunner.org.uk/races.php?id=5173 
Sat 10th Jun 2017 at 12:00,Roman Wall Show,7.1km / 4.4m,189m / 620ft,Steel Rigg car park,http://fellrunner.org.uk/races.php?id=5313 
