Date, Race, Distance, Ascent, Venue, Web
Sun 5th Feb 2017 at 10:00,Charnwood Hills,21.5km / 13.4m,366m / 1201ft,Martin High School Link Road Anstey Leicester LE7 7EB,http://fellrunner.org.uk/races.php?id=4769 
Sun 23rd Apr 2017 at 11:00,Mow Cop,10.5km / 6.5m,400m / 1312ft,Mount Pleasant/ Mow Cop Village Hall Mount Pleasant Rd ST7 3LG,http://fellrunner.org.uk/races.php?id=4807 
Sun 22nd Jan 2017 at 11:00,30th Cannock Chase Trig Points,27km / 16.8m,500m / 1640ft,Milford Hall Cricket Club Main Road Milford ST17 0UL,http://fellrunner.org.uk/races.php?id=5243 
