Date, Race, Distance, Ascent, Venue, Web
Sun 11th Jun 2017 at 10:30,Surrey Hills Race A,30km / 18.6m,800m / 2625ft,Nower Recreation Ground Dorking Surrey,http://fellrunner.org.uk/races.php?id=5130 
Sun 11th Jun 2017 at 10:30,Surrey Hills Race B,16km / 9.9m,400m / 1312ft,Nower Recreation Ground Dorking Surrey,http://fellrunner.org.uk/races.php?id=5131 
Sun 11th Jun 2017 at 10:30,Surrey Hills Race C,10km / 6.2m,200m / 656ft,Nower Recreation Ground Dorking Surrey,http://fellrunner.org.uk/races.php?id=5132 
Sat 21st Jan 2017 at 11:00,Box Hill,12km / 7.5m,530m / 1739ft,Ashcombe School Dorking RH4 1LY,http://fellrunner.org.uk/races.php?id=5136 
Sat 16th Sep 2017 at 11:00,St  Boniface Fell,3.9km / 2.4m,235m / 771ft,St Catherines School Grove Road Ventnor IOW PO38 1TT,http://fellrunner.org.uk/races.php?id=5202 
Sun 17th Sep 2017 at 10:30,Wroxall Round,21.1km / 13.1m,487m / 1598ft,St Catherines School Grove Road Ventnor IOW PO38 1TT,http://fellrunner.org.uk/races.php?id=5203 
Sat 16th Sep 2017 at 15:00,Ventnor Horseshoe,12km / 7.5m,443m / 1453ft,St Catherines School Grove Road Ventnor IOW PO38 1TT,http://fellrunner.org.uk/races.php?id=5204 
